X Y Z R V
50364.170348085 115545.93345754 -1307.5888831481 3 3017196
79059.580765416 100589.0941248 -9090.4290688663 1 3017196
59692.159063602 134442.716874 -2434.0933707997 6 3017196
73218.584814538 108307.66933991 -49.099923408786 7 3017196
60614.038731244 117493.58185339 139.6643523351 13 3017196
78947.032920736 112759.06579825 -1749.5236028519 12 3017196
85307.232509086 108547.95716047 -6068.1850733529 5 3017196
60736.181244122 105398.95749015 -191.75407309621 4 3017196
88344.938977137 122183.22877721 -7468.3574969583 2 3017196
73045.012406754 134274.35149352 -2628.3284476245 9 3017196
81096.258769812 104752.17641357 253.05764961302 8 3017196
73867.650213756 112394.14911824 530.05000109815 0 3017196
79072.356208208 123246.47492915 268.19000794734 11 3017196
88432.379166181 100912.69891605 -299.43744703722 10 3017196
